lr	lambda	alpha	Final_Accuracy	Sparsity
0.01	0.5	0.0001	93.81	54720
0.01	0.5	0.001	93.52	55008
0.01	0.5	0.01	93.8	61632
0.01	0.5	0.1	93.91	50688
0.01	0.5	0.3	93.6	33408
0.01	0.5	0.6	93.59	28512
0.01	0.8	0.0001	93.33	260640
0.01	0.8	0.001	93.57	237600
0.01	0.8	0.01	93.61	228096
0.01	0.8	0.1	93.48	214272
0.01	0.8	0.3	93.61	145728
0.01	0.8	0.6	93.81	142848
0.01	1.1	0.0001	92.91	452736
0.01	1.1	0.001	93.18	397728
0.01	1.1	0.01	93.17	418176
0.01	1.1	0.1	92.97	392544
0.01	1.1	0.3	93.42	326016
0.01	1.1	0.6	93.57	305568
0.01	1.4	0.0001	92.32	510480
0.01	1.4	0.001	92.33	523152
0.01	1.4	0.01	92.78	503424
0.01	1.4	0.1	92.77	477792
0.01	1.4	0.3	93.2	437184
0.01	1.4	0.6	92.97	431136
0.01	1.7	0.0001	92.34	561168
0.01	1.7	0.001	92.54	569376
0.01	1.7	0.01	92.6	581472
0.01	1.7	0.1	92.59	546912
0.01	1.7	0.3	92.42	512208
0.01	1.7	0.6	92.77	478224
0.1	0.5	0.0001	92.68	641772
0.1	0.5	0.001	92.06	604845
0.1	0.5	0.01	92.6	609516
0.1	0.5	0.1	92.33	623016
0.1	0.5	0.3	92.41	598707
0.1	0.5	0.6	93.13	552168
0.1	0.8	0.0001	91.81	677340
0.1	0.8	0.001	91.31	686727
0.1	0.8	0.01	91.13	675027
0.1	0.8	0.1	91.26	681597
0.1	0.8	0.3	91.98	647379
0.1	0.8	0.6	92.3	642573
0.1	1.1	0.0001	91.06	723213
0.1	1.1	0.001	91.34	712413
0.1	1.1	0.01	91.03	719874
0.1	1.1	0.1	90.71	711324
0.1	1.1	0.3	90.47	689571
0.1	1.1	0.6	92.44	659250
0.1	1.4	0.0001	90.46	751554
0.1	1.4	0.001	90.35	739512
0.1	1.4	0.01	90.17	736866
0.1	1.4	0.1	90.51	735651
0.1	1.4	0.3	90.83	726210
0.1	1.4	0.6	91.38	697608
0.1	1.7	0.0001	89.94	751725
0.1	1.7	0.001	89.6	760626
0.1	1.7	0.01	89.24	767106
0.1	1.7	0.1	89.74	756531
0.1	1.7	0.3	90.36	742968
0.1	1.7	0.6	91.2	716184
